Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.90     0.00   462504     0.00     0.00  _ZNSt16allocator_traitsISaI15InverseFlowPairEE9constructIS0_IRKS0_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS1_PT_DpOS6_
  0.00      1.90     0.00   460888     0.00     0.00  __gnu_cxx::__normal_iterator<InverseFlowPair*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >::operator++(int)
  0.00      1.90     0.00   403838     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::_M_get_Tp_allocator() const
  0.00      1.90     0.00   365194     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.90     0.00   365192     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_node_allocator()
  0.00      1.90     0.00   344689     0.00     0.00  void std::_Destroy_aux<true>::__destroy<InverseFlowPair*>(InverseFlowPair*, InverseFlowPair*)
  0.00      1.90     0.00   344689     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::_M_deallocate(InverseFlowPair*, unsigned long)
  0.00      1.90     0.00   344689     0.00     0.00  void std::_Destroy<InverseFlowPair*>(InverseFlowPair*, InverseFlowPair*)
  0.00      1.90     0.00   344689     0.00     0.00  void std::_Destroy<InverseFlowPair*, InverseFlowPair>(InverseFlowPair*, InverseFlowPair*, std::allocator<InverseFlowPair>&)
  0.00      1.90     0.00   324186     0.00     0.00  std::move_iterator<InverseFlowPair*>::base() const
  0.00      1.90     0.00   324186     0.00     0.00  std::_Iter_base<std::move_iterator<InverseFlowPair*>, true>::_S_base(std::move_iterator<InverseFlowPair*>)
  0.00      1.90     0.00   324186     0.00     0.00  std::move_iterator<InverseFlowPair*>::move_iterator(InverseFlowPair*)
  0.00      1.90     0.00   324186     0.00     0.00  std::_Miter_base<std::move_iterator<InverseFlowPair*> >::iterator_type std::__miter_base<std::move_iterator<InverseFlowPair*> >(std::move_iterator<InverseFlowPair*>)
  0.00      1.90     0.00   324186     0.00     0.00  std::move_iterator<InverseFlowPair*> std::__make_move_if_noexcept_iterator<InverseFlowPair*, std::move_iterator<InverseFlowPair*> >(InverseFlowPair*)
  0.00      1.90     0.00   322579     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
